"group","SID","item","survey_name","value"
"experimental","s003","msg_sharing_narrow_3","msg_sharing_narrow","13"
"experimental","s004","msg_sharing_narrow_3","msg_sharing_narrow","39"
"experimental","s006","msg_sharing_narrow_3","msg_sharing_narrow","11"
"experimental","s009","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s011","msg_sharing_narrow_3","msg_sharing_narrow","77"
"experimental","s013","msg_sharing_narrow_3","msg_sharing_narrow","32"
"experimental","s015","msg_sharing_narrow_3","msg_sharing_narrow","14"
"experimental","s016","msg_sharing_narrow_3","msg_sharing_narrow","50"
"experimental","s018","msg_sharing_narrow_3","msg_sharing_narrow","81"
"experimental","s020","msg_sharing_narrow_3","msg_sharing_narrow","95"
"experimental","s022","msg_sharing_narrow_3","msg_sharing_narrow","61"
"experimental","s025","msg_sharing_narrow_3","msg_sharing_narrow","31"
"experimental","s027","msg_sharing_narrow_3","msg_sharing_narrow","78"
"experimental","s028","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s030","msg_sharing_narrow_3","msg_sharing_narrow","0"
"experimental","s033","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s035","msg_sharing_narrow_3","msg_sharing_narrow","88"
"experimental","s037","msg_sharing_narrow_3","msg_sharing_narrow","60"
"experimental","s039","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s041","msg_sharing_narrow_3","msg_sharing_narrow","17"
"experimental","s042","msg_sharing_narrow_3","msg_sharing_narrow","28"
"experimental","s044","msg_sharing_narrow_3","msg_sharing_narrow","71"
"experimental","s046","msg_sharing_narrow_3","msg_sharing_narrow","62"
"experimental","s049","msg_sharing_narrow_3","msg_sharing_narrow","78"
"experimental","s051","msg_sharing_narrow_3","msg_sharing_narrow","6"
"experimental","s053","msg_sharing_narrow_3","msg_sharing_narrow","83"
"experimental","s055","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s057","msg_sharing_narrow_3","msg_sharing_narrow","70"
"experimental","s058","msg_sharing_narrow_3","msg_sharing_narrow","8"
"experimental","s061","msg_sharing_narrow_3","msg_sharing_narrow","65"
"experimental","s062","msg_sharing_narrow_3","msg_sharing_narrow","71"
"experimental","s064","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s066","msg_sharing_narrow_3","msg_sharing_narrow","10"
"experimental","s068","msg_sharing_narrow_3","msg_sharing_narrow","74"
"experimental","s072","msg_sharing_narrow_3","msg_sharing_narrow","95"
"experimental","s073","msg_sharing_narrow_3","msg_sharing_narrow","1"
"experimental","s074","msg_sharing_narrow_3","msg_sharing_narrow","75"
"experimental","s076","msg_sharing_narrow_3","msg_sharing_narrow","4"
"experimental","s078","msg_sharing_narrow_3","msg_sharing_narrow","23"
"experimental","s081","msg_sharing_narrow_3","msg_sharing_narrow","32"
"experimental","s082","msg_sharing_narrow_3","msg_sharing_narrow","88"
"experimental","s085","msg_sharing_narrow_3","msg_sharing_narrow","100"
"experimental","s086","msg_sharing_narrow_3","msg_sharing_narrow","15"
"experimental","s088","msg_sharing_narrow_3","msg_sharing_narrow","1"
