"cond","SID","survey_name","item","value"
"other","s003","sharing_narrow","1_sharing_narrow","10"
"other","s004","sharing_narrow","1_sharing_narrow","1"
"other","s005","sharing_narrow","1_sharing_narrow","100"
"other","s008","sharing_narrow","1_sharing_narrow","67"
"self","s009","sharing_narrow","1_sharing_narrow","72"
"other","s010","sharing_narrow","1_sharing_narrow","0"
"other","s012","sharing_narrow","1_sharing_narrow","1"
"self","s014","sharing_narrow","1_sharing_narrow","53"
"other","s015","sharing_narrow","1_sharing_narrow","50"
"other","s017","sharing_narrow","1_sharing_narrow","86"
"other","s018","sharing_narrow","1_sharing_narrow","55"
"self","s019","sharing_narrow","1_sharing_narrow","57"
"self","s020","sharing_narrow","1_sharing_narrow","16"
"self","s021","sharing_narrow","1_sharing_narrow","0"
"other","s024","sharing_narrow","1_sharing_narrow","11"
"other","s025","sharing_narrow","1_sharing_narrow","100"
"other","s028","sharing_narrow","1_sharing_narrow","90"
"self","s030","sharing_narrow","1_sharing_narrow","61"
"other","s031","sharing_narrow","1_sharing_narrow","94"
"self","s032","sharing_narrow","1_sharing_narrow","5"
"self","s036","sharing_narrow","1_sharing_narrow","5"
"other","s037","sharing_narrow","1_sharing_narrow","78"
"other","s038","sharing_narrow","1_sharing_narrow","0"
"self","s040","sharing_narrow","1_sharing_narrow","85"
"other","s041","sharing_narrow","1_sharing_narrow","96"
"other","s042","sharing_narrow","1_sharing_narrow","77"
"self","s043","sharing_narrow","1_sharing_narrow","3"
"other","s045","sharing_narrow","1_sharing_narrow","0"
"self","s046","sharing_narrow","1_sharing_narrow","93"
"self","s048","sharing_narrow","1_sharing_narrow","65"
"other","s049","sharing_narrow","1_sharing_narrow","42"
"self","s051","sharing_narrow","1_sharing_narrow","66"
"self","s052","sharing_narrow","1_sharing_narrow","95"
"other","s053","sharing_narrow","1_sharing_narrow","62"
"self","s054","sharing_narrow","1_sharing_narrow","5"
"other","s055","sharing_narrow","1_sharing_narrow","24"
"self","s056","sharing_narrow","1_sharing_narrow","44"
"self","s057","sharing_narrow","1_sharing_narrow","30"
"self","s058","sharing_narrow","1_sharing_narrow","30"
"other","s062","sharing_narrow","1_sharing_narrow","0"
"self","s063","sharing_narrow","1_sharing_narrow","0"
"self","s064","sharing_narrow","1_sharing_narrow","20"
"other","s065","sharing_narrow","1_sharing_narrow","79"
"other","s066","sharing_narrow","1_sharing_narrow","48"
"self","s067","sharing_narrow","1_sharing_narrow","38"
"other","s068","sharing_narrow","1_sharing_narrow","1"
"self","s069","sharing_narrow","1_sharing_narrow","75"
"self","s070","sharing_narrow","1_sharing_narrow","99"
"other","s072","sharing_narrow","1_sharing_narrow","61"
"other","s073","sharing_narrow","1_sharing_narrow","2"
"other","s074","sharing_narrow","1_sharing_narrow","70"
"other","s075","sharing_narrow","1_sharing_narrow","60"
